	Gene	Description
CARD9	CARD9	Caspase recruitment domain-containing protein 9
CRLD1	CRISPLD1	Cysteine-rich secretory protein LCCL domain-containing 1
BAZ1A	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A
NDUBB	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
UTP6	UTP6	U3 small nucleolar RNA-associated protein 6 homolog
EMC3	EMC3	ER membrane protein complex subunit 3
IBTK	IBTK	Inhibitor of Bruton tyrosine kinase
TUTLA	IGSF9	Protein turtle homolog A
DJB11	DNAJB11	DnaJ homolog subfamily B member 11
TRM7	FTSJ1	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
YM012		Uncharacterized protein DKFZp434B061
MA1B1	MAN1B1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
RAB26	RAB26	Ras-related protein Rab-26
RUVB1	RUVBL1	RuvB-like 1
ZBT12	ZBTB12	Zinc finger and BTB domain-containing protein 12
ZN711	ZNF711	Zinc finger protein 711
SERP1	SERP1	Stress-associated endoplasmic reticulum protein 1
LVK55	IGLV11-55	Probable non-functional immunoglobulin lambda variable 11-55
A0A0A0MT97	TRGJP1	T cell receptor gamma joining P1 (Fragment)
A0A1B0GTH9	LOC100505841	Zinc finger protein 474-like
A0A6Q8PFQ6		Uncharacterized protein
O4C45	OR4C45	Olfactory receptor 4C45
CE058	C5orf58	Putative uncharacterized protein C5orf58
MATN2	MATN2	Matrilin-2
CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator
PSMD3	PSMD3	26S proteasome non-ATPase regulatory subunit 3
NEMF	NEMF	Nuclear export mediator factor NEMF
ZN189	ZNF189	Zinc finger protein 189
UPP2	UPP2	Uridine phosphorylase 2
M3K6	MAP3K6	Mitogen-activated protein kinase kinase kinase 6
VNN1	VNN1	Pantetheinase
DNAL4	DNAL4	Dynein axonemal light chain 4
PROC	PROC	Vitamin K-dependent protein C
IGF1R	IGF1R	Insulin-like growth factor 1 receptor
ANXA5	ANXA5	Annexin A5
RHF2B	RHOXF2B	Rhox homeobox family member 2B
XRCC5	XRCC5	X-ray repair cross-complementing protein 5
CFTR	CFTR	Cystic fibrosis transmembrane conductance regulator
ITF2	TCF4	Transcription factor 4
TPH1	TPH1	Tryptophan 5-hydroxylase 1
BMP7	BMP7	Bone morphogenetic protein 7
KAPCG	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma
H2B1O	H2BC17	Histone H2B type 1-O
MT3	MT3	Metallothionein-3
NOS3	NOS3	Nitric oxide synthase, endothelial
GLPK	GK	Glycerol kinase
CTNA1	CTNNA1	Catenin alpha-1
K1C9	KRT9	Keratin, type I cytoskeletal 9
GPX4	GPX4	Phospholipid hydroperoxide glutathione peroxidase
COIL	COIL	Coilin
PTGDS	PTGDS	Prostaglandin-H2 D-isomerase
SPB10	SERPINB10	Serpin B10
XG	XG	Glycoprotein Xg
S10AA	S100A10	Protein S100-A10
TRI32	TRIM32	E3 ubiquitin-protein ligase TRIM32
RHEB	RHEB	GTP-binding protein Rheb
VACHT	SLC18A3	Vesicular acetylcholine transporter
SC5AC	SLC5A12	Sodium-coupled monocarboxylate transporter 2
CR021	C18orf21	UPF0711 protein C18orf21
C27C1	CYP27C1	Cytochrome P450 27C1
DHB12	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase
LCE1E	LCE1E	Late cornified envelope protein 1E
MBNL2	MBNL2	Muscleblind-like protein 2
TTLL5	TTLL5	Tubulin polyglutamylase TTLL5
HIBCH	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
RGMB	RGMB	Repulsive guidance molecule B
DUX4C	DUX4L9	Double homeobox protein 4C
TRI72	TRIM72	Tripartite motif-containing protein 72
BOP	RTL10	Protein Bop
PANKY	ANKRD33	Photoreceptor ankyrin repeat protein
CF201	C6orf201	Uncharacterized protein C6orf201
NDUAB	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
DDX60	DDX60	Probable ATP-dependent RNA helicase DDX60
CG031	C7orf31	Uncharacterized protein C7orf31
CX042	NKAPP1	Putative uncharacterized protein CXorf42
BL1S5	BLOC1S5	Biogenesis of lysosome-related organelles complex 1 subunit 5
MIPT3	TRAF3IP1	TRAF3-interacting protein 1
GLYL2	GLYATL2	Glycine N-acyltransferase-like protein 2
NPIB3	NPIPB3	Nuclear pore complex-interacting protein family member B3
RPGR	RPGR	X-linked retinitis pigmentosa GTPase regulator
DPH3	DPH3	DPH3 homolog
PGM2	PGM2	Phosphoglucomutase-2
RMD5B	RMND5B	E3 ubiquitin-protein transferase RMND5B
PAGE5	PAGE5	P antigen family member 5
MEG10	MEGF10	Multiple epidermal growth factor-like domains protein 10
CR012	C18orf12	Uncharacterized protein C18orf12
ZN714	ZNF714	Zinc finger protein 714
CT144	C20orf144	Uncharacterized protein C20orf144
NAT9	NAT9	N-acetyltransferase 9
FAP24	FAAP24	Fanconi anemia core complex-associated protein 24
TRAF4	TRAF4	TNF receptor-associated factor 4
DCC1	DSCC1	Sister chromatid cohesion protein DCC1
GTR11	SLC2A11	Solute carrier family 2, facilitated glucose transporter member 11
PITH1	PITHD1	PITH domain-containing protein 1
MIS12	MIS12	Protein MIS12 homolog
DRC9	IQCG	Dynein regulatory complex protein 9
GL8D2	GLT8D2	Glycosyltransferase 8 domain-containing protein 2
DOCK5	DOCK5	Dedicator of cytokinesis protein 5
MANS1	MANSC1	MANSC domain-containing protein 1
CP343	CYP3A43	Cytochrome P450 3A43
CHD8	CHD8	Chromodomain-helicase-DNA-binding protein 8
GP108	GPR108	Protein GPR108
SPTC3	SPTLC3	Serine palmitoyltransferase 3
PK2L2	PKD2L2	Polycystic kidney disease 2-like 2 protein
GULP1	GULP1	PTB domain-containing engulfment adapter protein 1
FBLN5	FBLN5	Fibulin-5
HCN2	HCN2	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
TPC1	TPCN1	Two pore calcium channel protein 1
UN13A	UNC13A	Protein unc-13 homolog A
TN13B	TNFSF13B	Tumor necrosis factor ligand superfamily member 13B
YBOX2	YBX2	Y-box-binding protein 2
PRG3	PRG3	Proteoglycan 3
SIT1	SIT1	Signaling threshold-regulating transmembrane adapter 1
PKP3	PKP3	Plakophilin-3
CMAH	CMAHP	Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase
INSL5	INSL5	Insulin-like peptide INSL5
KAD5	AK5	Adenylate kinase isoenzyme 5
A0A075B6U9	TRAJ2	T cell receptor alpha joining 2 (non-functional) (Fragment)
F240C	FAM240C	Protein FAM240C
CPHXL	CPHXL	Cytoplasmic polyadenylated homeobox-like
F246A	FAM246A	Protein FAM246A
F234B	FAM234B	Protein FAM234B
LRC72	LRRC72	Leucine-rich repeat-containing protein 72
SAC31	SAC3D1	SAC3 domain-containing protein 1
GOG8A	GOLGA8A	Golgin subfamily A member 8A
FS2P1	FADS2B	Putative fatty acid desaturase 2-like protein FADS2B
SARCO	SLN	Sarcolipin
MGA	MGAM	Maltase-glucoamylase, intestinal
CHSTA	CHST10	Carbohydrate sulfotransferase 10
KRT86	KRT86	Keratin, type II cuticular Hb6
PLCH2	PLCH2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2
CAPON	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
SDC3	SDC3	Syndecan-3
SOAT2	SOAT2	Sterol O-acyltransferase 2
UBXN7	UBXN7	UBX domain-containing protein 7
CLD7	CLDN7	Claudin-7
TTLL1	TTLL1	Probable tubulin polyglutamylase TTLL1
PTTG1	PTTG1	Securin
FA12	F12	Coagulation factor XII
CP2E1	CYP2E1	Cytochrome P450 2E1
QCR6	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial
ROS1	ROS1	Proto-oncogene tyrosine-protein kinase R
MMP7	MMP7	Matrilysin
GNAO	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha
T191B	TMEM191B	Transmembrane protein 191B
PEPC	PGC	Gastricsin
GPDA	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
RL21	RPL21	60S ribosomal protein L21
PPOX	PPOX	Protoporphyrinogen oxidase
P5CS	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase
PP4C	PPP4C	Serine/threonine-protein phosphatase 4 catalytic subunit
SPCS3	SPCS3	Signal peptidase complex subunit 3
GRB2	GRB2	Growth factor receptor-bound protein 2
PHC1	PHC1	Polyhomeotic-like protein 1
ARGI2	ARG2	Arginase-2, mitochondrial
BAT1	SLC7A9	b(0,+)-type amino acid transporter 1
EWS	EWSR1	RNA-binding protein EWS
TNAP2	TNFAIP2	Tumor necrosis factor alpha-induced protein 2
TROAP	TROAP	Tastin
ITPR3	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
PON2	PON2	Serum paraoxonase/arylesterase 2
C3AR	C3AR1	C3a anaphylatoxin chemotactic receptor
KI26B	KIF26B	Kinesin-like protein KIF26B
VWA3B	VWA3B	von Willebrand factor A domain-containing protein 3B
GPAT3	GPAT3	Glycerol-3-phosphate acyltransferase 3
CC157	CCDC157	Coiled-coil domain-containing protein 157
NHSL2	NHSL2	NHS-like protein 2
TOR2A	TOR2A	Torsin-2A
NHSL1	NHSL1	NHS-like protein 1
FAM74	FAM74A6	Protein FAM74A4/A6
KRA56	KRTAP5-6	Keratin-associated protein 5-6
F117B	FAM117B	Protein FAM117B
ZN613	ZNF613	Zinc finger protein 613
KLH17	KLHL17	Kelch-like protein 17
ZNF66	ZNF66	Putative zinc finger protein 66
NYAP1	NYAP1	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1
U17L1	USP17L1	Ubiquitin carboxyl-terminal hydrolase 17-like protein 1
RIP	RPAIN	RPA-interacting protein
GTSC1	GTSCR1	Gilles de la Tourette syndrome chromosomal region candidate gene 1 protein
P2RY8	P2RY8	P2Y purinoceptor 8
Z280B	ZNF280B	Zinc finger protein 280B
RM41	MRPL41	39S ribosomal protein L41, mitochondrial
DCP1B	DCP1B	mRNA-decapping enzyme 1B
RDH10	RDH10	Retinol dehydrogenase 10
LYG1	LYG1	Lysozyme g-like protein 1
S15A4	SLC15A4	Solute carrier family 15 member 4
FBX36	FBXO36	F-box only protein 36
TET5D	TENT5D	Terminal nucleotidyltransferase 5D
TSN14	TSPAN14	Tetraspanin-14
OR5L1	OR5L1	Olfactory receptor 5L1
MFSD8	MFSD8	Major facilitator superfamily domain-containing protein 8
TYMOS	TYMSOS	TYMS opposite strand protein
ZCH10	ZCCHC10	Zinc finger CCHC domain-containing protein 10
ST32A	STK32A	Serine/threonine-protein kinase 32A
MYO3B	MYO3B	Myosin-IIIb
ERGI1	ERGIC1	Endoplasmic reticulum-Golgi intermediate compartment protein 1
ZSC31	ZSCAN31	Zinc finger and SCAN domain-containing protein 31
NECA3	NECAB3	N-terminal EF-hand calcium-binding protein 3
SIG12	SIGLEC12	Sialic acid-binding Ig-like lectin 12
BBS4	BBS4	Bardet-Biedl syndrome 4 protein
BEGIN	BEGAIN	Brain-enriched guanylate kinase-associated protein
ABHEA	ABHD14A	Protein ABHD14A
SFXN3	SFXN3	Sideroflexin-3
ORNT2	SLC25A2	Mitochondrial ornithine transporter 2
EPT1	SELENOI	Ethanolaminephosphotransferase 1
OTOR	OTOR	Otoraplin
SLTM	SLTM	SAFB-like transcription modulator
PP14D	PPP1R14D	Protein phosphatase 1 regulatory subunit 14D
CNIH4	CNIH4	Protein cornichon homolog 4
IP6K2	IP6K2	Inositol hexakisphosphate kinase 2
TCAL9	TCEAL9	Transcription elongation factor A protein-like 9
PLXA1	PLXNA1	Plexin-A1
BARX2	BARX2	Homeobox protein BarH-like 2
NPIA1	NPIPA1	Nuclear pore complex-interacting protein family member A1
FA50B	FAM50B	Protein FAM50B
T10B	TIMM10B	Mitochondrial import inner membrane translocase subunit Tim10 B
SNX14	SNX14	Sorting nexin-14
SPEGN	SPEGNB	SPEG neighbor protein
PIOS1	PIGBOS1	Protein PIGB
THSD8	THSD8	Thrombospondin type-1 domain-containing protein 8
A0A494BZU4	TMEM217	Transmembrane protein 217
A0A590UK83	LINC00634	Long intergenic non-protein coding RNA 634
IGS23	IGSF23	Immunoglobulin superfamily member 23
A3KN74	GPX6	GPX6 protein
PINLY	PINLYP	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
B3KNS4	ERVK3-1	Endogenous retrovirus group K3 member 1
F227A	FAM227A	Protein FAM227A
P5I11	TP53I11	Tumor protein p53-inducible protein 11
MRP5	ABCC5	Multidrug resistance-associated protein 5
SSNA1	SSNA1	Sjoegren syndrome nuclear autoantigen 1
FCG3B	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B
MITF	MITF	Microphthalmia-associated transcription factor
LYPA1	LYPLA1	Acyl-protein thioesterase 1
LTN1	LTN1	E3 ubiquitin-protein ligase listerin
SNAI1	SNAI1	Zinc finger protein SNAI1
NOE2	OLFM2	Noelin-2
HV459	IGHV4-59	Immunoglobulin heavy variable 4-59
CY24B	CYBB	Cytochrome b-245 heavy chain
INHA	INHA	Inhibin alpha chain
PIM1	PIM1	Serine/threonine-protein kinase pim-1
MYL6B	MYL6B	Myosin light chain 6B
FOSL1	FOSL1	Fos-related antigen 1
LYAM2	SELE	E-selectin
NEUM	GAP43	Neuromodulin
ZP3	ZP3	Zona pellucida sperm-binding protein 3
AAAD	AADAC	Arylacetamide deacetylase
PPAC	ACP1	Low molecular weight phosphotyrosine protein phosphatase
FOXN2	FOXN2	Forkhead box protein N2
NEDD4	NEDD4	E3 ubiquitin-protein ligase NEDD4
KC1D	CSNK1D	Casein kinase I isoform delta
MMP14	MMP14	Matrix metalloproteinase-14
PHS	PCBD1	Pterin-4-alpha-carbinolamine dehydratase
SIM1	SIM1	Single-minded homolog 1
ZBED6	ZBED6	Zinc finger BED domain-containing protein 6
FAK1	PTK2	Focal adhesion kinase 1
MGT5A	MGAT5	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A
ORC1	ORC1	Origin recognition complex subunit 1
CUL2	CUL2	Cullin-2
GRB14	GRB14	Growth factor receptor-bound protein 14
IL17	IL17A	Interleukin-17A
SMTL2	SMTNL2	Smoothelin-like protein 2
MAJIN	MAJIN	Membrane-anchored junction protein
KR202	KRTAP20-2	Keratin-associated protein 20-2
MMEL1	MMEL1	Membrane metallo-endopeptidase-like 1
ERFE	ERFE	Erythroferrone
PKHG4	PLEKHG4	Puratrophin-1
COQ5	COQ5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
A20A2	ANKRD20A2P	Putative ankyrin repeat domain-containing protein 20A2
LIPN	LIPN	Lipase member N
Z518A	ZNF518A	Zinc finger protein 518A
CAVN1	CAVIN1	Caveolae-associated protein 1
FIP1	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1
MUC6	MUC6	Mucin-6
YA011	PP632	Putative uncharacterized protein PP632
RINL	RINL	Ras and Rab interactor-like protein
NEK10	NEK10	Serine/threonine-protein kinase Nek10
TAFA1	TAFA1	Chemokine-like protein TAFA-1
VTCN1	VTCN1	V-set domain-containing T-cell activation inhibitor 1
PLCZ1	PLCZ1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1
TF2LX	TGIF2LX	Homeobox protein TGIF2LX
NPAS4	NPAS4	Neuronal PAS domain-containing protein 4
LIX1L	LIX1L	LIX1-like protein
ZBED8	ZBED8	Protein ZBED8
RBFA	RBFA	Putative ribosome-binding factor A, mitochondrial
CGAS	CGAS	Cyclic GMP-AMP synthase
IRAS1	IRF1-AS1	Uncharacterized protein IRF1-AS1
MFI	MFI	Protein MFI
SMG8	SMG8	Protein SMG8
MYRIP	MYRIP	Rab effector MyRIP
OR5B3	OR5B3	Olfactory receptor 5B3
CK045	C11orf45	Putative uncharacterized protein C11orf45
MIPO1	MIPOL1	Mirror-image polydactyly gene 1 protein
P2R3C	PPP2R3C	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
T106A	TMEM106A	Transmembrane protein 106A
STALP	STAMBPL1	AMSH-like protease
SIPA1	SIPA1	Signal-induced proliferation-associated protein 1
CPNS2	CAPNS2	Calpain small subunit 2
CEP63	CEP63	Centrosomal protein of 63 kDa
SPT33	SPATA33	Spermatogenesis-associated protein 33
ZN582	ZNF582	Zinc finger protein 582
MTL26	METTL26	Methyltransferase-like 26
CCD77	CCDC77	Coiled-coil domain-containing protein 77
TIM21	TIMM21	Mitochondrial import inner membrane translocase subunit Tim21
SUCR1	SUCNR1	Succinate receptor 1
CNTP4	CNTNAP4	Contactin-associated protein-like 4
OR8D2	OR8D2	Olfactory receptor 8D2
VCX2	VCX2	Variable charge X-linked protein 2
PDRG1	PDRG1	p53 and DNA damage-regulated protein 1
MS18A	MIS18A	Protein Mis18-alpha
MAT2B	MAT2B	Methionine adenosyltransferase 2 subunit beta
OR5V1	OR5V1	Olfactory receptor 5V1
AGRE2	ADGRE2	Adhesion G protein-coupled receptor E2
FBXW2	FBXW2	F-box/WD repeat-containing protein 2
CFA45	CFAP45	Cilia- and flagella-associated protein 45
PCDGF	PCDHGB3	Protocadherin gamma-B3
CLIC4	CLIC4	Chloride intracellular channel protein 4
V9GZ13		Uncharacterized protein
TVA6	TRAV6	T cell receptor alpha variable 6
TVA34	TRAV34	T cell receptor alpha variable 34
A0A0G2JMH3	LOC107984156	ADP-ribosylation factor-like protein 17
A0N4Z7	TRAJ10	Possible J 10 gene (Fragment)
CCD78	CCDC78	Coiled-coil domain-containing protein 78
OR5K3	OR5K3	Olfactory receptor 5K3
WIPF3	WIPF3	WAS/WASL-interacting protein family member 3
URAD	URAD	Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
SGE2P	SAGE2P	Putative SAGE1-like protein
SRRM4	SRRM4	Serine/arginine repetitive matrix protein 4
ADAS1	ADARB2-AS1	Putative uncharacterized protein ADARB2-AS1
GG6LV	GOLGA6L22	Golgin subfamily A member 6-like protein 22
P3C2A	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
UN13B	UNC13B	Protein unc-13 homolog B
CLD3	CLDN3	Claudin-3
TBX1	TBX1	T-box transcription factor TBX1
DUX1	DUX1	Double homeobox protein 1
PRKY	PRKY	Putative serine/threonine-protein kinase PRKY
RTN3	RTN3	Reticulon-3
GNA14	GNA14	Guanine nucleotide-binding protein subunit alpha-14
TBX18	TBX18	T-box transcription factor TBX18
DRC4	GAS8	Dynein regulatory complex subunit 4
C1R	C1R	Complement C1r subcomponent
INS	INS	Insulin
HSP1	PRM1	Sperm protamine P1
KV502	IGKV5-2	Immunoglobulin kappa variable 5-2
NFM	NEFM	Neurofilament medium polypeptide
COX6C	COX6C	Cytochrome c oxidase subunit 6C
ME15P	METTL15P1	Putative methyltransferase-like protein 15P1
HVD82	IGHV4-38-2	Immunoglobulin heavy variable 4-38-2
TMDD1	TMDD1	Transmembrane and death domain protein 1
TVA35	TRAV35	T cell receptor alpha variable 35
BIP	HSPA5	Endoplasmic reticulum chaperone BiP
RCC1	RCC1	Regulator of chromosome condensation
CNR1	CNR1	Cannabinoid receptor 1
EVI2A	EVI2A	Protein EVI2A
GSTT1	GSTT1	Glutathione S-transferase theta-1
ETV3	ETV3	ETS translocation variant 3
V1BR	AVPR1B	Vasopressin V1b receptor
GLRB	GLRB	Glycine receptor subunit beta
NR2C2	NR2C2	Nuclear receptor subfamily 2 group C member 2
HMGA2	HMGA2	High mobility group protein HMGI-C
PMS2	PMS2	Mismatch repair endonuclease PMS2
NETR	PRSS12	Neurotrypsin
PSA6	PSMA6	Proteasome subunit alpha type-6
DYLT1	DYNLT1	Dynein light chain Tctex-type 1
MP2K1	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1
ZBT17	ZBTB17	Zinc finger and BTB domain-containing protein 17
OZF	ZNF146	Zinc finger protein OZF
RAB35	RAB35	Ras-related protein Rab-35
AG10A	ALG10	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase
CT452	CT45A2	Cancer/testis antigen family 45 member A2
CENPW	CENPW	Centromere protein W
PKHS1	PLEKHS1	Pleckstrin homology domain-containing family S member 1
SLIP	NUGGC	Nuclear GTPase SLIP-GC
ARID2	ARID2	AT-rich interactive domain-containing protein 2
SYDM	DARS2	Aspartate--tRNA ligase, mitochondrial
MDGA2	MDGA2	MAM domain-containing glycosylphosphatidylinositol anchor protein 2
EMSY	EMSY	BRCA2-interacting transcriptional repressor EMSY
FRMD5	FRMD5	FERM domain-containing protein 5
RBM23	RBM23	Probable RNA-binding protein 23
DTX2	DTX2	Probable E3 ubiquitin-protein ligase DTX2
NRAP	NRAP	Nebulin-related-anchoring protein
RELL1	RELL1	RELT-like protein 1
SULF1	SULF1	Extracellular sulfatase Sulf-1
OR2L5	OR2L5	Olfactory receptor 2L5
OR9A2	OR9A2	Olfactory receptor 9A2
CHD6	CHD6	Chromodomain-helicase-DNA-binding protein 6
CI130	LINC00476	Putative uncharacterized protein encoded by LINC00476
TOM6	TOMM6	Mitochondrial import receptor subunit TOM6 homolog
GCP3	TUBGCP3	Gamma-tubulin complex component 3
PTCD3	PTCD3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial
CFA36	CFAP36	Cilia- and flagella-associated protein 36
ZN521	ZNF521	Zinc finger protein 521
OR2A5	OR2A5	Olfactory receptor 2A5
ZNT2	SLC30A2	Zinc transporter 2
CA050	C1orf50	Uncharacterized protein C1orf50
SPA5L	SPATA5L1	Spermatogenesis-associated protein 5-like protein 1
GSX2	GSX2	GS homeobox 2
UBE2O	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme
SEM6A	SEMA6A	Semaphorin-6A
WNK1	WNK1	Serine/threonine-protein kinase WNK1
DPEP2	DPEP2	Dipeptidase 2
JUPI2	JPT2	Jupiter microtubule associated homolog 2
B2L10	BCL2L10	Bcl-2-like protein 10
MMP25	MMP25	Matrix metalloproteinase-25
KCNH7	KCNH7	Potassium voltage-gated channel subfamily H member 7
FGOP2	FGFR1OP2	FGFR1 oncogene partner 2
COMD8	COMMD8	COMM domain-containing protein 8
TLR7	TLR7	Toll-like receptor 7
SPG21	SPG21	Maspardin
EHD3	EHD3	EH domain-containing protein 3
GBG13	GNG13	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
CK021	C11orf21	Uncharacterized protein C11orf21
JUPI1	JPT1	Jupiter microtubule associated homolog 1
DYN3	DNM3	Dynamin-3
HDAC5	HDAC5	Histone deacetylase 5
AKT3	AKT3	RAC-gamma serine/threonine-protein kinase
GPR55	GPR55	G-protein coupled receptor 55
ZN281	ZNF281	Zinc finger protein 281
A0A075B6W1	TRDJ3	T cell receptor delta joining 3 (Fragment)
A0A075B6W9	TRAJ53	T cell receptor alpha joining 53 (Fragment)
PMIS2	PMIS2	Transmembrane protein PMIS2
A0A494C103	LOC112577516	Carbohydrate-binding protein AQN-1-like
YD286	C5orf63	Glutaredoxin-like protein C5orf63
RBY1E	RBMY1E	RNA-binding motif protein, Y chromosome, family 1 member E
GG6L6	GOLGA6L6	Golgin subfamily A member 6-like protein 6
FONG	FTCDNL1	Formiminotransferase N-terminal subdomain-containing protein
SUMO5	SUMO1P1	Small ubiquitin-related modifier 5
